theta	phi(  2)	phi(  4)	phi(  6)	phi(  9)	phi( 13)	phi( 18)	phi( 24)	phi( 30)	phi( 37)	phi( 45)	phi( 54)	phi( 64)	phi( 74)	phi( 85)	phi( 97)
 320.40	  89.99580	  89.96461	  89.91892	  89.83565	  89.71994	  89.58359	  89.43001	  89.28938	  89.13620	  88.97319	  88.76149	  88.44374	  88.05991	  87.62283	  87.55444
 324.00	  89.99598	  89.96626	  89.92268	  89.84307	  89.73236	  89.60195	  89.45509	  89.32076	  89.17450	  89.01886	  88.81403	  88.49726	  88.09427	  87.60420	  86.95289
 327.60	  89.99621	  89.96830	  89.92731	  89.85230	  89.74791	  89.62501	  89.48672	  89.36043	  89.22307	  89.07697	  88.88211	  88.57237	  88.16042	  87.62003	  86.51860
 331.20	  89.99650	  89.97072	  89.93281	  89.86331	  89.76657	  89.65274	  89.52484	  89.40830	  89.28178	  89.14741	  88.96588	  88.66907	  88.25991	  87.68074	  86.61236
 334.80	  89.99682	  89.97350	  89.93914	  89.87606	  89.78822	  89.68499	  89.56919	  89.46400	  89.35011	  89.22951	  89.06486	  88.78794	  88.39197	  87.79669	  86.91252
 338.40	  89.99719	  89.97661	  89.94625	  89.89042	  89.81268	  89.72144	  89.61932	  89.52687	  89.42712	  89.32195	  89.17734	  88.92852	  88.55751	  87.97147	  86.90184
 342.00	  89.99760	  89.98002	  89.95406	  89.90627	  89.83970	  89.76170	  89.67460	  89.59604	  89.51162	  89.42303	  89.30067	  89.08702	  88.75784	  88.20411	  86.56076
 345.60	  89.99804	  89.98369	  89.96249	  89.92340	  89.86895	  89.80525	  89.73429	  89.67051	  89.60224	  89.53096	  89.43225	  89.25817	  88.98550	  88.49948	  86.34907
 349.20	  89.99850	  89.98758	  89.97141	  89.94159	  89.90005	  89.85151	  89.79754	  89.74919	  89.69760	  89.64398	  89.56967	  89.43795	  89.22953	  88.84841	  86.74834
 352.80	  89.99899	  89.99163	  89.98072	  89.96060	  89.93257	  89.89984	  89.86350	  89.83101	  89.79642	  89.76055	  89.71079	  89.62250	  89.48274	  89.22431	  87.75348
 356.40	  89.99949	  89.99578	  89.99030	  89.98016	  89.96604	  89.94956	  89.93129	  89.91496	  89.89759	  89.87957	  89.85449	  89.80981	  89.73906	  89.60875	  88.96593
 360.00	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000	  90.00000
